仓库名,星数,语言,更新时间,项目描述,话题标签,是否支持捐赠,是否有Issues,仓库ID,类型
PetoiCamp/OpenCat-Quadruped-Robot,4827,C++,2026-04-15T11:05:20.441Z,"An open source quadruped <em>robot</em> pet framework for developing Boston Dynamics-style four-legged <em>robots</em> that are perfect for STEM, coding &amp; <em>r…</em>","education,raspberry-pi,iot,arduino,ai,robotics,simulation,stem,visual-programming,walking,quadruped,block-coding,quadruped-robot-gaits,robot-kit,legged-robot,robot-pet,robot-dog,robot-cat,robotics-education",False,True,326441188,Public
huggingface/lerobot,24265,Python,2026-05-23T09:57:31.918Z,🤗 LeRobot: Making AI for <em>Robotics</em> more accessible with end-to-end learning,,False,True,748713144,Public
RobotLocomotion/drake,4047,C++,2026-05-23T15:41:36.347Z,Model-based design and verification for <em>robotics</em>.,"robotics,drake",False,True,16256144,Public
henki-robotics/<em>robotics</em>_essentials_ros2,2343,C++,2025-11-25T22:56:19.970Z,Learn the basics of <em>robotics</em> through hands-on experience using ROS 2 and Gazebo simulation.,"course,navigation,path-planning,slam,odometry,ros2",False,True,880776535,Public
CHH3213/chh<em>Robotics</em>,682,Jupyter Notebook,2024-08-22T15:20:18.338Z,自动驾驶规划控制python代码实现,,False,True,489186986,Public
mjyc/awesome-<em>robotics</em>-projects,1618,,2026-02-13T01:40:21.631Z,"A list of open-source, affordable, less-known, or visionary <em>robotics</em> projects.","awesome,robotics,projects",False,True,227416937,Public
Farama-Foundation/Gymnasium-<em>Robotics</em>,908,Python,2026-05-20T09:04:16.868Z,A collection of <em>robotics</em> simulation environments for reinforcement learning,"reinforcement-learning,robotics,simulation,gymnasium,mujoco,d4rl",True,True,421134917,Public
cyberbotics/webots,4366,C++,2026-05-22T23:34:33.699Z,Webots <em>Robot</em> Simulator,"open-source,multi-platform,simulator,robot,ai,computer-vision,robotics,simulation,physics-engine,ros,robots,autonomous-vehicles,fluid-dynamics,3d-engine,robot-simulator,ros2,webots,robotics-simulation,robot-simulation,simulated-robots",True,True,156228018,Public
hubotio/hubot,16787,JavaScript,2026-05-23T13:33:26.674Z,A customizable life embetterment <em>robot</em>.,"hubot,chat,bot",False,True,2278524,Public
yvonshong/Probabilistic-<em>Robotics</em>,440,,2018-05-06T14:38:25.305Z,《概率机器人》书和课后习题,"robotics,probabilistic",False,True,132326805,Public
MarkFzp/mobile-aloha,4427,Jupyter Notebook,2024-06-22T18:27:51.958Z,Mobile ALOHA: Learning Bimanual Mobile Manipulation with Low-Cost Whole-Body Teleoperation,"robotics,imitation-learning",False,True,661917172,Public
qboticslabs/ros_<em>robotics</em>_projects,332,JavaScript,2020-10-01T16:24:40.417Z,Example codes of new book ROS <em>Robotics</em> Projects,"learning,tracking,robot,system,robotics,deep,ros,face,virtual,self-driving-car,operating,reality,rosmatlab",False,True,65660615,Public
wuhaoran996/open<em>Robotics</em>,440,MATLAB,2020-03-25T03:52:59.399Z,Sharing the joy of <em>robot</em> programming in the spirit of open source,,False,True,188213812,Public
michiganrobotics/rob501,2264,,2022-03-21T15:33:13.125Z,Mathematics for <em>Robotics</em>,,False,True,452298460,Public
Le0nX/Modern<em>Robotics</em>Cpp,533,C++,2024-04-06T22:41:18.065Z,"Modern <em>Robotics</em>: Mechanics, Planning, and Control C++ Library --- The primary purpose of the provided software is to be easy to read and …","control,math,cpp,robotics,eigen,cpp11,modern-robotics",False,True,158552015,Public
MarkFzp/act-plus-plus,3620,Python,2024-05-15T12:53:19.432Z,"Imitation learning algorithms with Co-training for Mobile ALOHA: ACT, Diffusion Policy, VINN","robotics,imitation-learning",False,True,700076185,Public
hybridgroup/gobot,9405,Go,2026-01-07T16:21:45.858Z,"Golang framework for <em>robotics</em>, drones, and the Internet of Things (IoT)","go,mqtt,raspberry-pi,iot,arduino,beaglebone-black,gpio,robot,uav,drone,robotics,hardware,i2c,bluetooth,internet-of-things,sphero,intel-joule,beaglebone,bluetooth-le,intel-edison",False,True,12996196,Public
rerun-io/rerun,10826,Rust,2026-05-23T15:52:29.271Z,"Visualize, query, and stream to train on multimodal <em>robotics</em> data.","visualization,python,rust,computer-vision,cpp,robotics,multimodal",False,True,479289739,Public
robotics-survey/Awesome-<em>Robotics</em>-Foundation-Models,1375,,2024-10-07T19:03:58.173Z,,,False,True,718423019,Public
ompl/ompl,2057,C++,2026-05-11T21:06:29.698Z,The Open Motion Planning Library (OMPL),"robotics,motion-planning",False,True,19983886,Public
google-deepmind/mujoco_menagerie,3496,Python,2026-05-20T22:16:26.902Z,"A collection of high-quality models for the MuJoCo physics engine, curated by Google DeepMind.","robotics,mujoco",False,True,532854029,Public
JdeRobot/<em>Robotics</em>Infrastructure,57,Python,2026-05-23T15:38:48.940Z,Infrastructure for <em>robotic</em> applications,,False,True,277535606,Public
mathiasmantelli/awesome-mobile-<em>robotics</em>,707,,2024-04-20T13:31:57.291Z,"Useful links of different content related to AI, Computer Vision, and <em>Robotics</em>.","youtube,books,research,localization,uav,robotics,lab,jobs,ros,labs,awesome-list,companies,datasets,slam,mobile-robotics,autonomous-systems,autonomous-robots",False,True,274975229,Public
